county,s1D,s1R,s2D,s2R
20033,153,797,63,716
20035,4551,8499,2315,7384
20037,7561,7828,4153,6292
20039,240,1278,91,1057
20041,1982,6338,839,5166
20043,1193,2192,409,1784
20045,28908,20861,16365,14872
20047,254,1070,99,927
20049,389,981,164,932
20051,3402,8566,859,7863
20053,681,2174,248,1930
20055,2532,7430,852,5356
20057,1851,6706,932,5163
20059,3894,7152,1670,5464
20061,2966,4502,1365,3408
20063,192,1201,64,1037
20065,273,1091,72,994
20067,465,2086,168,1562
20069,304,1762,114,1406
20071,105,621,44,573
20073,602,1565,371,1827
20075,171,886,71,710
20077,644,2036,283,1758
20079,5195,9762,2828,8319
20081,184,1339,85,1008
20083,147,935,60,838
20085,2095,3908,1008,3061
20087,3234,5385,1651,4205
20089,247,1245,90,1041
20091,106297,158312,55587,121630
20093,219,1221,97,928
20095,853,2625,335,2260
20097,135,965,61,967
20099,3639,5024,1685,3789
20101,143,862,54,685
20103,11933,16643,5492,12433
20105,258,1277,98,1051
20107,1447,2925,677,2460
20109,185,1224,77,1010
20111,5064,7125,2125,6309
20113,3322,9545,1485,7858
20115,1504,4406,571,3835
20117,1627,3239,745,2941
20119,287,1598,105,1350
20121,4780,9601,2308,7316
20123,541,2558,205,1977
20125,4488,8855,1938,6930
20127,746,1985,311,1691
20129,181,1177,70,897
20131,1628,3582,656,3420
20133,2634,4286,1161,3393
20135,214,1276,49,1064
20137,397,1947,157,1548
20139,2435,4738,1241,4021
20141,395,1499,108,1448
20143,551,2426,199,1907
20145,694,2103,220,1950
20147,407,2187,132,1834
20149,2253,6990,1100,5401
20151,1050,2983,347,2605
20153,213,1305,56,1071
20155,8380,16922,3166,14524
20157,509,2088,176,1691
20159,1000,2855,352,2506
20161,7870,13821,3960,9621
20163,396,2113,101,1898
20165,391,1317,83,1180
20167,652,2566,212,2421
20169,6596,15016,2933,14208
20171,286,1849,116,1657
20173,68808,112784,36049,93838
20175,1099,3874,425,3021
20177,36418,43931,19981,34995
20179,224,1120,66,964
20181,501,2125,196,1681
20183,427,1708,134,1378
20185,422,1584,136,1335
20187,99,687,40,545
20189,231,1818,93,1389
20191,3040,6714,1544,5891
20193,651,2927,225,2298
20195,313,1322,90,1085
20197,893,2461,449,2169
20199,64,732,22,580
20201,549,2318,188,1932
20203,138,866,55,701
